# concept_id	lang	definition	source
# - lang: en|zh
# - definition: full-text explanation of the term
# - source: provenance (e.g. ITER-glossary, IAEA-safety-glossary, GB/T-4960.9)
# ---- Imported from ITER-glossary (2026-04-14) ----
demo	en	DEMO (DEMOnstration fusion reactor) is a generic term referring to the next class of experimental device to follow ITER, predecessor to a demonstration power plant. DEMO would generate electricity at the level of a few hundred MW and utilize all technologies necessary for a commercial device. See the After ITER page of the website for more information about the projects underway in the ITER Members.	ITER-glossary
deuterium	en	An isotope of hydrogen. Its nucleus contains one neutron and one proton.	ITER-glossary
deuterium-tritium-plasma	en	A plasma obtained by using deuterium and tritium as the fusion fuels. Also called a D-T plasma.	ITER-glossary
deuterium-tritium-reactions	en	Reactions between the nuclei of two isotopes of hydrogen, deuterium and tritium, to release energy by nuclear fusion. Helium nuclei and neutrons are produced.	ITER-glossary
diagnostics	en	Equipment for determining/monitoring the properties and behaviour of a plasma during an experiment.	ITER-glossary
diii-d	en	The DIII-D tokamak was developed in the 1980s by General Atomics in San Diego, USA, as part of the ongoing effort to achieve magnetically confined fusion. It is currently operated by General Atomics for the US Department of Energy. See this link.	ITER-glossary
disruption	en	A disruption is an instability that may develop within the tokamak plasma. Disruptions lead to the degradation or loss of the magnetic confinement of the plasma and, because of the high amount of energy contained within the plasma, the loss of confinement during a disruption can cause a significant thermal loading of in-vessel components together with high mechanical strains on the in-vessel components, the vacuum vessel and the magnet coils. Disruptions have been observed, avoided and mitigated in most operating tokamaks.	ITER-glossary
disruption-mitigation	en	A system to protect machine components against excessive heat loads and electromagnetic forces resulting from plasma disruptions, in which there is a sudden loss of stored thermal and magnetic energy. See shattered pellet injection.	ITER-glossary
divertor	en	The component of the ITER device that removes helium "ash" and plasma heat during operation of the tokamak. Located at the very bottom of the vacuum vessel, the ITER divertor is made up of 54 remotely-removable cassettes, each holding three plasma-facing components, or targets. These are the inner and the outer vertical targets, and the dome.	ITER-glossary
divertor-channel	en	The region of the divertor into which field lines in the plasma scrape-off layer are conducted.	ITER-glossary
domestic-agencies	en	Agencies created in each of the seven ITER Members to fulfil in-kind procurement responsibilities to ITER. In-kind procurement means that instead of supplying only cash to the ITER Organization for the construction phase of the project, Members are supplying 90% of their participation "in kind," in the form of systems, components and, in the case of Europe, buildings.	ITER-glossary
double-pancake	en	The building block of ITER's toroidal field and poloidal field superconducting magnets. Double pancakes are double layers of spiralled superconductor wound into the precise shape of the coil (D-shape for the toroidal field magnets, ring-shape for the poloidal field magnets). Six to nine double pancakes are stacked to form the final magnet assemblies.	ITER-glossary
east	en	The Experimental Advanced Superconducting Tokamak (EAST) is a superconducting tokamak in operation at the Institute of Plasma Physics, Chinese Academy of Sciences (ASIPP), in Hefei since 2006. See this link.	ITER-glossary
electron-beam	en	A stream of electrons moving with the same velocity and direction in neighbouring paths and usually emitted from a single source such as a cathode.	ITER-glossary
electron-cyclotron-resonance-heating	en	(ECRH) An external mode of heating the plasma through resonant absorption of energy by introducing electromagnetic waves into the plasma at the cyclotron frequency of electrons.	ITER-glossary
edge-localized-mode	en	Edge Localized Mode. Regular, energetic bursts of energy and particles that escape from the magnetic field surrounding the plasma and cause loss of energy. The mitigation of this phenomenon is an important preoccupation of tokamak physicists.	ITER-glossary
energy-breakeven	en	The condition of Q = 1, meaning that the total fusion power produced during a plasma pulse is equal to the power injected into the systems that heat the plasma.	ITER-glossary
tau-e	en	The ratio of instantaneous plasma energy content to the net power flow into the plasma required to maintain that energy content.	ITER-glossary
epfl	en	The Swiss Federal Institute of Technology in Lausanne, home to the Swiss Plasma Center and the TCV tokamak.	ITER-glossary
equatorial-port	en	Mid-level entryways into the ITER vacuum vessel. The 17 equatorial ports will provide access into the vessel for remote handling, diagnostics, heating, and vacuum systems.	ITER-glossary
eurofusion	en	EUROfusion, the European Consortium for the Development of Fusion Energy, manages European fusion research activities on behalf of Euratom. See this site.	ITER-glossary
first-wall	en	The interior surface of the tokamak, closest to the plasma. Detachable, front-facing elements of the ITER blanket (called first wall panels) will be installed to withstand the heat flux from the plasma.	ITER-glossary
fuel-cycle-system	en	The system which extracts deuterium, tritium and impurities from the plasma exhaust stream and prepares deuterium and tritium for re-injection into the plasma.	ITER-glossary
fuel-pellet	en	Small slugs of frozen deuterium and tritium fuel in the 3-6 mm diameter range fired frequently (up to 20 pellets per second) into the plasma to maintain sufficient fuel density in the plasma core. Pellet injection is also efficient in controlling Edge Localized Modes, or ELMs. Special technology is being developed to allow these pellets to fly along curved trajectories, thereby attaining specific zones within the plasmas where ELMs are particularly disruptive.	ITER-glossary
fusion	en	The merging of two light atomic nuclei into a heavier nucleus, with a resultant loss in the combined mass and a massive release of energy.	ITER-glossary
fusion-performance	en	The level of power amplification, Q, or the energy confinement time during a fusion reaction.	ITER-glossary
fusion-triple-product	en	The "triple product" of density, confinement time and plasma temperature is used by researchers to measure the performance of a fusion plasma. The triple product has seen an increase of a factor of 10,000 in the last thirty years of fusion experimentation; less than a factor of ten is needed to arrive at the level of performance required for a fusion power plant.	ITER-glossary
gas-puffing	en	By releasing puffs of fuel or impurity gas from valves into the plasma chamber it is possible to fuel the outer regions of the plasma. Fuel pellets are used to fuel deeper into the plasma.	ITER-glossary
gyrotron	en	A type of radiofrequency power transmission tube (valve) used to produce electromagnetic waves in the GHz range for plasma heating in the range of the plasma electron cyclotron resonance.	ITER-glossary
h-mode	en	The H-mode is the baseline mode of plasma operation on all of today's major tokamaks. As the plasma auxiliary heating exceeds a certain threshold power the energy confinement of the plasma spontaneously doubles. This phenomenon was first discovered on ASDEX in 1982.	ITER-glossary
helium-ash	en	Ash is the name given to the helium nuclei produced by fusion reactions in a deuterium-tritium plasma. Once the helium nuclei have shared their energy with the rest of the plasma they have no further use; their removal and replacement by deuterium-tritium fuel is required to prevent dilution of the plasma.	ITER-glossary
hot-cell	en	A concrete-shielded chamber with a controlled atmosphere that can be used to work on radioactive materials and components with a view to repairing them and refurbishing them for future re-use, or dismantling them for disposal. The chamber is equipped with remote manipulators or robotic devices for this purpose. No human access is foreseen.	ITER-glossary
iaea	en	International Atomic Energy Agency, Vienna, Austria. See this website.	ITER-glossary
ifmif-dones	en	The International Fusion Materials Irradiation Facility/DEMO Oriented NEutron Source (IFMIF-DONES) will be a research infrastructure for the testing, validation and qualification of the materials to be used in future fusion power plants like DEMO (a demonstration fusion reactor prototype). It is under construction now in Granada, Spain, with Spain, Croatia, and Japan as principal project leads. See this website.	ITER-glossary
ifmif-eveda	en	International Fusion Materials Irradiation Facility, Naka, Japan. Part of the Broader Approach agreement, IFMIF is an international scientific research program designed to test materials for suitability for use in a fusion reactor. Jointly developed by Europe and Japan, IFMIF will use a particle accelerator-based neutron source to produce a large neutron flux, in a suitable quantity and time period to test the long-term behavior of materials under conditions similar to those expected at the inner wall of a fusion reactor. Engineering validation and engineering design activities (EVEDA) are currently underway. See more at IFMIF/EVEDA.	ITER-glossary
ignition	en	The point at which a fusion reaction becomes completely self-sustaining. At ignition, fusion self-heating is sufficient to compensate for all energy losses, external sources of heating power are no longer necessary to sustain the reaction.	ITER-glossary
impurities	en	Atoms of unwanted elements in the plasma usually originating from the surrounding walls.	ITER-glossary
in-vessel-components	en	The in-vessel components comprise the blanket, the divertor, the fuelling and internal pumping systems, the port plugs, the in-vessel coils and diagnostic sensors mounted directly on the vessel.	ITER-glossary
ion	en	An atom which has become charged as a result of gaining or losing one or more orbiting electrons. A completely ionized atom is one that is stripped of all its electrons.	ITER-glossary
ion-cyclotron-resonance-heating	en	(ICRH) An external mode of heating the plasma through resonant absorption of energy by introducing electromagnetic waves into the plasma at the cyclotron frequency of ions.	ITER-glossary
ionization	en	The removing or adding of an electron to a neutral atom, thereby creating an ion.	ITER-glossary
ipp-garching	en	Max Planck Institute for Plasma Physics (IPP) in Germany, home to the ASDEX Upgrade tokamak (Garching) and the Wendelstein 7-X stellarator (Greifswald). See this site.	ITER-glossary
isotope	en	One of several versions of the same element, possessing different numbers of neutrons but the same number of protons in their nuclei.	ITER-glossary
iter	en	The acronym ITER (pronounced "eater") is the Latin word for "the way." In choosing this name, the participants in the early Conceptual Design Activities for ITER (1988-1992) were expressing their common hopes that the project would lead to international cooperation on the development of a new form of energy. (The acronym also originally stood for International Thermonuclear Experimental Reactor—a name that is no longer used.)	ITER-glossary
itpea	en	The International Tokamak Physics and Engineering Activity (ITPEA) provides a framework for internationally coordinated fusion research activities. The ITPEA continues the tokamak physics and engineering R&D activities that have been conducted on an international level for many years resulting in the achievement of a broad engineering and physics basis essential for the ITER design and useful for all fusion programs and for progress toward fusion energy generally. (The name was changed from the ITPA in late 2025.)The ITPEA operates under the auspices of ITER. See the ITPEA page hosted on the ITER website.	ITER-glossary
iua	en	The cost estimates for the construction and operation phases of the ITER Project have been quantified using an internal currency called the ITER Unit of Account or IUA, established in 1989. The basis of conversion from IUA to Euro has been agreed between the Members and is updated each year. Because seven ITER Members are collaborating to build ITER, each with responsibility for the procurement of in-kind hardware in its own territory with its own currency, the IUA was devised to measure the value of in-kind contributions consistently over time, and to neutralize market fluctuations.	ITER-glossary
jet	en	The Joint European Torus, JET, operated between 1983 and 2023 as a joint European project at the Culham Centre for Fusion Energy, UK. It completed its 40-year operational lifetime in autumn 2023 and is now slated for repurposing and decommissioning (2024-2040). Read more about the JET device and its many milestones here. Read more about decommissioning and repurposing here.	ITER-glossary
jt-60sa	en	The upgrade of the Japanese JT-60 tokamak. On achieving first plasma in October 2023, JT-60SA became the world's largest functioning tokamak. See the JT-60SA website.	ITER-glossary
kstar	en	KSTAR (Korea Superconducting Tokamak Advanced Research) is a magnetic fusion device at the Korea Institute of Fusion Energy (KFE) in Daejeon, South Korea. KSTAR achieved its first plasma in 2008. See this page.	ITER-glossary
lawson-s-criteria	en	In 1955, British physicist John Lawson (1923-2008) demonstrated that the conditions for fusion rely on three vital parameters: temperature (T), density (n) and confinement time (τ). (Lawson's Criteria)	ITER-glossary
lithium	en	Present in minerals and salt in the Earth's crust, lithium is the lightest metal. ITER will test specific lithium-containing wall modules to "breed" tritium. In effect, tritium can be produced within the tokamak when neutrons escaping the plasma interact with lithium contained in the blanket.	ITER-glossary
lower-ports	en	Low-level entryways into the ITER vacuum vessel. The 9 lower ports will provide access into the vessel for remote handling, diagnostics, heating, and vacuum systems.	ITER-glossary
magnetic-confinement	en	The containment of a plasma during fusion experiments by applying a specific pattern of magnetic fields. Also referred to as a magnetic bottle.	ITER-glossary
major-plasma-radius	en	The centre of the last closed flux surface at the height of the maximum width of the plasma. The major radius of the torus.	ITER-glossary
mast-upgrade	en	The Mega Amp Spherical Tokamak, located at the Culham Centre for Fusion Energy (UK). See this webpage.	ITER-glossary
nbtf	en	At the Neutral Beam Test Facility at Consorzio RFX, in Padua, Italy, ITER neutral beam injection will be tested in advance of operation on two test beds: SPIDER (an ITER-scale negative ion source) and MITICA (a full-size ITER neutral beam injector). See this ITER webpage.	ITER-glossary
nbti-conductor	en	Flexible superconductor made of niobium titanium compound suitable for use up to 10T with helium coolant at 4.5 K.	ITER-glossary
net-energy	en	When the total power produced during a fusion plasma pulse surpasses the thermal power injected to heat the plasma. See Energy Breakeven.	ITER-glossary
neutral-beam-injection	en	ITER's heating neutral beam injectors shoot uncharged high-energy particles into the plasma where, by way of chaotic motion and collision, they will transfer their energy to the charged plasma particles and raise plasma temperature.	ITER-glossary
nstx-u	en	NSTX-U is an upgrade of the National Spherical Torus Experiment (NSTX, 1999-2010) located at Princeton Plasma Physics Laboratory (USA). Currently completing repairs, NSTX-U is expected to resume operations in 2025. See this page.	ITER-glossary
ohmic-heating	en	The heating effect resulting from the resistance a medium offers to the flow of electric current. In a plasma subjected to ohmic heating, ions are heated almost entirely by the transfer of energy from the hotter electrons. Also known as resistive heating.	ITER-glossary
pellet-injector	en	A device that shoots small frozen quantities of hydrogen isotopes at high speed into the inner regions of a hot plasma. This method has some penetration advantages over conventional gas injection.	ITER-glossary
plasma	en	The fourth state of matter. At extreme temperatures, electrons are separated from nuclei and a gas becomes a plasma - a hot, electrically charged gas. In a star as in a fusion device, plasmas provide the environment in which light elements can fuse and yield energy. Some 99% of the known universe is in the plasma state. Examples of plasmas include the sun, fluorescent light bulbs, and other gas-discharge tubes.	ITER-glossary
plasma-current	en	The electrical current going the long way around the torus.	ITER-glossary
plasma-shutdown	en	The orderly process of extinguishing the plasma at the end of a plasma burn pulse, involving reduction of the plasma thermal energy, and reduction of plasma current to zero.	ITER-glossary
plasma-temperature	en	Temperature expressed in Kelvin (thermodynamic temperature) or electron volts (kinetic temperature). A measure of the random kinetic energy (energy of motion) of the ions or electrons present.	ITER-glossary
plasma-facing-components	en	Tokamak components which directly interact with the plasma, and are subject to high heat fluxes. In ITER, this includes the first wall and the divertor.	ITER-glossary
poloidal-direction	en	Movement in the vertical plane intersecting the plasma torus along projections in that plane of any of the tokamak's nested toroidal flux surfaces.	ITER-glossary
poloidal-field	en	The magnetic field generated by an electric current flowing in a ring. In toroidal devices, the magnetic field that encircles the plasma axis. (i.e., loops around the torus the short way.)	ITER-glossary
poloidal-field-coils	en	Components of a tokamak that assist in stabilizing the plasma. In ITER, the poloidal field coil system consists of six horizontal coils placed outside the toroidal magnet structure.	ITER-glossary
procurement-arrangement	en	Procurement Arrangements are a unique ITER invention. Each one of these documents governs the procurement of plant systems, components, or site construction and details all the necessary technical specifications and management requirements. The value of each Procurement Arrangement is expressed in ITER Units of Account (IUAs). About 140 individual Procurement Arrangements are currently planned to implement the work packages for building ITER.	ITER-glossary
energy-gain	en	Also called "Fusion Gain." The ratio between the power produced by the fusion reactions and the external power required to sustain them via plasma heating. In ITER, the programmatic goal, Q≥10, signifies delivering ten times more power than that which is consumed by the heating systems. Breakeven corresponds to Q=1; ignition corresponds to Q=infinity. A burning plasma has a Q value of >1.	ITER-glossary
quench	en	A quench is an abnormal termination of magnet operation that occurs when part of the superconducting coil loses its superconductive state, and reenters the normal, resistive state. Resistance results in ohmic heating in a specific area; this heat then rapidly causes other areas of the magnet to quench. ITER will be equipped with quench detection systems, and rapid discharge units to dissipate the excess magnet energy during a quench.	ITER-glossary
ramp-up-time	en	The time necessary to initiate the plasma and heat it up to burn temperature, involving a phase of increase (ramp-up) of plasma current, followed by an increase (ramp-up) of plasma temperature.	ITER-glossary
remote-handling	en	Handling of tools or components by machines with the controls at a remote location.	ITER-glossary
remote-maintenance	en	Maintenance and modification of the radioactive elements and components of the tokamak using machines and tools controlled remotely to avoid human exposure to radioactivity.	ITER-glossary
resistive-heating	en	See Ohmic Heating.	ITER-glossary
runaway-electron	en	Fast, concentrated beams of electrons (runaway electrons) may be produced during disruptions in ITER, and could cause damage to plasma-facing components.	ITER-glossary
scrape-off-layer	en	The scrape-off layer (or SOL) is the plasma periphery—the critical buffer region between the hot core and the solid wall elements.	ITER-glossary
separatrix	en	Defines the plasma edge and acts as a boundary between open and closed magnetic field lines.	ITER-glossary
shattered-pellet-injection	en	The technique selected for disruption mitigation on ITER. A shattered pellet injector pre-empts plasma disruptions by releasing a spray of frozen deuterium-neon pellets into the plasma. The frozen pellet fragments, injected at speeds up to 250 metres per second, rapidly decrease the plasma temperature, thereby dissipating energy and minimizing potential damage to plasma-facing surfaces during a disruption.	ITER-glossary
shield-block-module	en	In ITER, the blanket is subdivided in modules to allow it to be relatively easily replaced through equatorial access ports. There are 440 individual segments, each measuring 1 x 1.5 metres and weighing approximately 4.5 tonnes. Each segment has a detachable first wall which directly faces the plasma and removes the plasma heat load, and a semi-permanent blanket shield dedicated to neutron shielding. (see also "First Wall").	ITER-glossary
shutdown-time	en	The time span between the end of burn and the end of the plasma state; part of the operating time.	ITER-glossary
sst-1	en	The Indian Steady State Superconducting Tokamak (SST-1) was fully commissioned in 2013 at the Institute for Plasma Research in Gujarat, and upgraded in 2019. SST-1 is a medium-sized tokamak producing repeatable plasma discharges up to ~ 500 ms with plasma currents in excess of 75000 A at a central field of 1.5 T. See this website.	ITER-glossary
steady-state-operation	en	The operation of the plasma in a way in which termination of the pulse is not determined by plasma behaviour, but is rather a choice of the operator. Operation that, in principle, can continue indefinitely.	ITER-glossary
steady-state-tokamak	en	A tokamak in which conditions such as temperature, reaction rate, and neutron flux do not change appreciably with time.	ITER-glossary
stellarator	en	A device invented by Lyman Spitzer (USA) for the containment of a plasma inside a racetrack-shaped tube. The toroidal device produces a poloidal field in a plasma with the use of external magnetic field coils.	ITER-glossary
superconducting-magnets	en	Magnetic coils which use superconductors that have zero resistivity when cooled below the critical temperature.	ITER-glossary
superconductivity	en	The flow of electric current without resistance in certain metals and alloys at temperatures near absolute zero.	ITER-glossary
superconductor	en	A type of electrical conductor that permits a current to flow with zero resistance.	ITER-glossary
supercritical-helium	en	Helium will remain liquid in a bath at 1 atmosphere pressure provided the temperature does not rise above 4.2 K. If the ITER coils are placed in such a coolant bath and a high pulse of heat ensues in their operation, most of the helium must be vented to avoid large overpressures. To avoid this, the coils of ITER operate with pumped supercritical helium, just above the critical temperature, which retains a large measure of the heat transfer properties of liquid helium without the risk of overpressure.	ITER-glossary
t-15md	en	Tokamak in operation at the Kurchatov Institute, Moscow. T-15MD is an upgrade from the historic T-15 machine—the first tokamak to use superconducting magnets to control the plasma.	ITER-glossary
tcv	en	A tokamak operated by the Swiss Federal Institute of Technology in Lausanne (EPFL) as part of the Swiss Plasma Center. See this webpage.	ITER-glossary
tftr	en	The Tokamak Fusion Test Reactor (TFTR) was an experimental tokamak built at Princeton Plasma Physics Laboratory (New Jersey, USA), and operated from 1982-1997. See more information here.	ITER-glossary
thermal-shield	en	The tokamak component that prevents heat transfer to the ultra-cold superconducting magnets.	ITER-glossary
tokamak	en	A fusion device for containing a plasma inside a torus chamber through the use of two magnetic fields—one created by electric coils around the torus, the other created by intense electric current in the plasma itself. The tokamak was invented in the 1950s by Soviet physicists Igor Yevgenyevich Tamm and Andrei Sakharov. The term tokamak is a transliteration of a Russian expression (toroidalnaya kamera + magnitnaya katushka) meaning toroidal chamber with magnetic coils.	ITER-glossary
tore-supra	en	A superconducting fusion experiment at the Institute for Magnetic Fusion Research, IRFM (CEA Cadarache research centre) in France, which aims particularly at demonstrating long-pulse tokamak operation. Tore Supra has been upgraded with an actively cooled tungsten divertor (the WEST project) to serve as a test bed for ITER.	ITER-glossary
toroidal-current	en	The basic means of driving toroidal current in the tokamak plasma uses the fact that most field lines created by the central solenoid pass down its bore and do not return on themselves until they pass outboard of (i.e., radially beyond) the plasma. This "inductive linkage" between the solenoid and plasma allows a change in current in the solenoid to drive current in the plasma (Maxwell's Laws).	ITER-glossary
toroidal-direction	en	In a doughnut-shaped torus, the direction parallel to the large circumference.	ITER-glossary
toroidal-field	en	The magnetic field generated by an electrical currrent flowing around a torus.	ITER-glossary
toroidal-field-coils	en	Components of a tokamak that assist in stabilizing the plasma, by creating a "magnetic bottle" for confinement. In ITER, the toroidal field coil system consists of 18 D-shaped vertical coils placed around the vacuum vessel.	ITER-glossary
torus	en	A surface of revolution generated by revolving a circle in three-dimensional space about an axis coplanar with and not touching the circle. Examples of tori include the surfaces of doughnuts and inner tubes. The solid contained by the surface is known as a toroid.	ITER-glossary
tritium	en	The third isotope of hydrogen, containing one proton and two neutrons in the nucleus.	ITER-glossary
tritium-recycling	en	The processes of tritium removal from gas streams, including plasma exhaust and the plant atmosphere, and returning it to use as fuel in the plasma or to storage, in a safe manner.	ITER-glossary
upper-ports	en	Upper-level entryways into the ITER vacuum vessel. The 18 upper ports will provide access into the vessel for remote handling, diagnostics, heating, and vacuum systems.	ITER-glossary
vacuum-pumps	en	Pumps which remove gas, usually air, from a chamber, leaving it under vacuum. A variety of types are used in ITER, depending on the quality and degree of the vacuum needed.	ITER-glossary
vacuum-vessel	en	The vacuum vessel establishes the confinement barrier in a tokamak and limits the heat flux to the toroidal field coils. It provides low-impurity volume for the reacting plasma.	ITER-glossary
wall-conditioning	en	The process of cleaning the first wall of a vacuum vessel to remove contaminants.	ITER-glossary
wall-load	en	Stresses on the plasma-facing surfaces of the tokamak from plasma particles, neutrons and electromagnetic radiation, which should be minimized to prevent damage.	ITER-glossary
west	en	The upgrade of the Tore Supra tokamak in France to a test bed for ITER, with supplementary magnetic coils and a new ITER-like tungsten divertor. See the West website here.	ITER-glossary
# ---- Imported from IAEA-safety-glossary (2026-04-14) ----
a1	en	The activity value of special form radioactive material that is listed in Table 2 or derived in Section IV [both of the Transport Regulations] and is used to determine the activity limits for the requirements of [the Transport] Regulations. (See SSR-6 (Rev. 1) [2], sections II and IV and table 2.) A1 is the maximum activity of special form radioactive material that can be transported in a Type A package. Fractions and multiples of A1 are also used as criteria for other package types, etc. The corresponding value for any other form of radioactive material is A2.	IAEA-safety-glossary
a2	en	The activity value of radioactive material, other than special form radioactive material, that is listed in Table 2 or derived in Section IV [both of the Transport Regulations] and is used to determine the activity limits for the requirements of [the Transport] Regulations. (See SSR-6 (Rev. 1) [2], sections II and IV and table 2.) A2 is the maximum activity of any radioactive material other than special form radioactive material that can be transported in a Type A package. Fractions and multiples of A2 are also used as criteria for other package types, etc. The corresponding value for special form radioactive material is A1.	IAEA-safety-glossary
abnormal-operation	en	See plant states (considered in design): anticipated operational occurrence.	IAEA-safety-glossary
absorbed-dose	en	See dose quantities.	IAEA-safety-glossary
absorbed-fraction	en	The fraction of energy emitted as a specified radiation type in a specified source region that is absorbed in a specified target tissue.	IAEA-safety-glossary
absorption	en	1. See sorption. 2. See lung absorption type.	IAEA-safety-glossary
absorption-type-lung	en	See lung absorption type.	IAEA-safety-glossary
accelerogram	en	A recording of ground acceleration, usually in three orthogonal directions (i.e. components), two in the horizontal plane and one in the vertical plane.	IAEA-safety-glossary
acceptable-limit	en	See limit.	IAEA-safety-glossary
